"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
122,"Sarıçam","saricam","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
123,"Seyhan","seyhan","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
124,"Tufanbeyli","tufanbeyli","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
125,"Yumurtalık","yumurtalik","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
126,"Yüreğir","yuregir","2018-05-28 11:46:57","2018-05-28 11:46:57",,5,,
127,"Besni","besni","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
128,"Çelikhan","celikhan","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
129,"Gerger","gerger","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
130,"Gölbaşı","golbasi","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
131,"Kahta","kahta","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
132,"Merkez","merkez","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
133,"Samsat","samsat","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
134,"Sincik","sincik","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
135,"Tut","tut","2018-05-28 11:46:57","2018-05-28 11:46:57",,6,,
136,"Başmakçı","basmakci","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
137,"Bayat","bayat","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
138,"Bolvadin","bolvadin","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
139,"Çay","cay","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
140,"Çobanlar","cobanlar","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
141,"Dazkırı","dazkiri","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
142,"Dinar","dinar","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
143,"Emirdağ","emirdag","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
144,"Evciler","evciler","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
145,"Hocalar","hocalar","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
146,"İhsaniye","ihsaniye","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
147,"İscehisar","iscehisar","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
148,"Kızılören","kiziloren","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
149,"Merkez","merkez","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
150,"Sandıklı","sandikli","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
151,"Sinanpaşa","sinanpasa","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
152,"Sultandağı","sultandagi","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
153,"Şuhut","suhut","2018-05-28 11:46:57","2018-05-28 11:46:57",,7,,
154,"Diyadin","diyadin","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
155,"Doğubayazıt","dogubayazit","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
156,"Eleşkirt","eleskirt","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
157,"Hamur","hamur","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
158,"Merkez","merkez","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
159,"Patnos","patnos","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
160,"Taşlıçay","taslicay","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
161,"Tutak","tutak","2018-05-28 11:46:57","2018-05-28 11:46:57",,8,,
162,"Ağaçören","agacoren","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
163,"Eskil","eskil","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
164,"Gülağaç","gulagac","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
165,"Güzelyurt","guzelyurt","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
166,"Merkez","merkez","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
167,"Ortaköy","ortakoy","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
168,"Sarıyahşi","sariyahsi","2018-05-28 11:46:57","2018-05-28 11:46:57",,9,,
169,"Göynücek","goynucek","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
170,"Gümüşhacıköy","gumushacikoy","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
171,"Hamamözü","hamamozu","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
172,"Merkez","merkez","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
173,"Merzifon","merzifon","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
174,"Suluova","suluova","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
175,"Taşova","tasova","2018-05-28 11:46:57","2018-05-28 11:46:57",,10,,
176,"Akseki","akseki","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
177,"Aksu","aksu","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
