"id","name","slug","created_at","updated_at","deleted_at","districtId","latitude","longitude"
40196,"Tuzluçayır","tuzlucayir","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40207,"Aktaş","aktas","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40215,"Bağpınar","bagpinar","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40226,"Dallıca","dallica","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40235,"Gafurefendi","gafurefendi","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40244,"Karacaören","karacaoren","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40253,"Köprübaşı","koprubasi","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40263,"Kuzören","kuzoren","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40273,"Tepebaşı","tepebasi","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40283,"Yavuz Selim","yavuz-selim","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40294,"Çavuşlu","cavuslu","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40303,"Esenyurt","esenyurt","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40312,"Piri Sami","piri-sami","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40322,"Bahçelievler","bahcelievler","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40334,"Dağyurdu","dagyurdu","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40344,"Esentepe","esentepe","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40353,"Gökçebük","gokcebuk","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40365,"Kıbrıs","kibris","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40376,"Mezrea","mezrea","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40384,"Ocaklı","ocakli","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40394,"Yaylayolu","yaylayolu","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40404,"Atlıkonak","atlikonak","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40412,"Başkent","baskent","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40423,"Dağdagül","dagdagul","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40431,"Halilkaya","halilkaya","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40440,"Kabaktepe","kabaktepe","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40450,"Kuzuluk","kuzuluk","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40464,"Tebrizcik","tebrizcik","2018-05-28 11:48:00","2018-05-28 11:48:00",,776,,
40477,"Bayındır","bayindir","2018-05-28 11:48:00","2018-05-28 11:48:00",,777,,
40482,"Budaklar","budaklar","2018-05-28 11:48:00","2018-05-28 11:48:00",,777,,
39549,"Yüzbaşı","yuzbasi","2018-05-28 11:47:59","2018-05-28 11:47:59",,132,,
39558,"Beydoğan","beydogan","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39563,"Damlapınar","damlapinar","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39572,"Eşmekaya","esmekaya","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39583,"Gümüşlü","gumuslu","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39593,"Karşıbahçeler","karsibahceler","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39602,"Payamlı","payamli","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39612,"Umurca","umurca","2018-05-28 11:47:59","2018-05-28 11:47:59",,764,,
39624,"Aşağıçanakçı","asagicanakci","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39633,"Çatakkaya","catakkaya","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39642,"Gelindere","gelindere","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39651,"Günay","gunay","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39659,"İmran Göze","imran-goze","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39667,"Kavak","kavak","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39674,"Kayapınar","kayapinar","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39683,"Olgunlar","olgunlar","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39696,"Taşlıyayla","tasliyayla","2018-05-28 11:47:59","2018-05-28 11:47:59",,765,,
39705,"Aşağıkartallı","asagikartalli","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39716,"Başköy","baskoy","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39725,"Coşan","cosan","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39736,"Küçükgelengeç","kucukgelengec","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39745,"Saraycık","saraycik","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39755,"Yaylalar","yaylalar","2018-05-28 11:47:59","2018-05-28 11:47:59",,766,,
39765,"Akdoğu","akdogu","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39770,"Bozyayla","bozyayla","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39779,"Çörekli","corekli","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39791,"Kapıkaya","kapikaya","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39801,"Kuran","kuran","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39810,"Merkez","merkez","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
39819,"Yalıngöze","yalingoze","2018-05-28 11:47:59","2018-05-28 11:47:59",,767,,
